iShares U.S. Healthcare ETF
Fund Holdings as of,"Dec 05, 2024"
Inception Date,"Jun 12, 2000"
Shares Outstanding,"52,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","53,435,062.52","1.66","53,435,062.52","135,974.00","392.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","52,582,203.90","1.63","52,582,203.90","162,990.00","322.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","46,925,601.10","1.45","46,925,601.10","61,109.00","767.90","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","46,740,139.26","1.45","46,740,139.26","267,438.00","174.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","37,569,005.28","1.16","37,569,005.28","169,047.00","222.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","35,294,153.85","1.09","35,294,153.85","110,277.00","320.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","25,314,140.14","0.78","25,314,140.14","349,498.00","72.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","23,611,064.72","0.73","23,611,064.72","171,256.00","137.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","21,679,895.43","0.67","21,679,895.43","265,799.00","81.56","United States","NASDAQ","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","21,071,022.56","0.65","21,071,022.56","105,392.00","199.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","20,600,743.10","0.64","20,600,743.10","48,190.00","427.49","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","20,349,850.00","0.63","20,349,850.00","85,000.00","239.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","19,980,906.66","0.62","19,980,906.66","86,251.00","231.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","19,952,333.28","0.62","19,952,333.28","70,488.00","283.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","18,598,434.79","0.58","18,598,434.79","73,859.00","251.81","United States","NASDAQ","USD","1.00","USD","-"
"DXCM","DEXCOM INC","Health Care","Equity","18,476,750.40","0.57","18,476,750.40","234,120.00","78.92","United States","NASDAQ","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","17,822,290.70","0.55","17,822,290.70","307,546.00","57.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","17,467,848.00","0.54","17,467,848.00","142,200.00","122.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","13,542,833.36","0.42","13,542,833.36","85,036.00","159.26","United States","NASDAQ","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","13,489,452.60","0.42","13,489,452.60","42,393.00","318.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","13,147,495.74","0.41","13,147,495.74","34,478.00","381.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","13,060,120.72","0.40","13,060,120.72","119,642.00","109.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","13,010,370.81","0.40","13,010,370.81","92,991.00","139.91","United States","NASDAQ","USD","1.00","USD","-"
"STE","STERIS","Health Care","Equity","12,506,356.17","0.39","12,506,356.17","57,519.00","217.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COO","COOPER INC","Health Care","Equity","11,762,955.27","0.36","11,762,955.27","113,949.00","103.23","United States","NASDAQ","USD","1.00","USD","-"
"LH","LABCORP HOLDINGS INC","Health Care","Equity","11,550,737.70","0.36","11,550,737.70","49,173.00","234.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRA","NATERA INC","Health Care","Equity","11,181,856.14","0.35","11,181,856.14","66,157.00","169.02","United States","NASDAQ","USD","1.00","USD","-"
"PODD","INSULET CORP","Health Care","Equity","10,930,910.58","0.34","10,930,910.58","40,851.00","267.58","United States","NASDAQ","USD","1.00","USD","-"
"DGX","QUEST DIAGNOSTICS INC","Health Care","Equity","10,267,340.40","0.32","10,267,340.40","64,770.00","158.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","10,187,843.04","0.32","10,187,843.04","33,912.00","300.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOLX","HOLOGIC INC","Health Care","Equity","10,173,816.00","0.32","10,173,816.00","133,866.00","76.00","United States","NASDAQ","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","9,964,637.21","0.31","9,964,637.21","43,741.00","227.81","United States","NASDAQ","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","9,540,070.71","0.30","9,540,070.71","25,483.00","374.37","United States","NASDAQ","USD","1.00","USD","-"
"BAX","BAXTER INTERNATIONAL INC","Health Care","Equity","9,483,040.60","0.29","9,483,040.60","297,274.00","31.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTRS","VIATRIS INC","Health Care","Equity","8,949,488.33","0.28","8,949,488.33","694,297.00","12.89","United States","NASDAQ","USD","1.00","USD","-"
"RVTY","REVVITY INC","Health Care","Equity","8,292,004.32","0.26","8,292,004.32","72,048.00","115.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVTR","AVANTOR INC","Health Care","Equity","8,248,242.76","0.26","8,248,242.76","395,789.00","20.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","8,101,360.98","0.25","8,101,360.98","188,667.00","42.94","United States","NASDAQ","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP","Health Care","Equity","7,732,285.20","0.24","7,732,285.20","55,668.00","138.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","Health Care","Equity","7,353,851.40","0.23","7,353,851.40","58,170.00","126.42","United States","NASDAQ","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","7,314,848.08","0.23","7,314,848.08","110,563.00","66.16","United States","NASDAQ","USD","1.00","USD","-"
"INCY","INCYTE CORP","Health Care","Equity","6,977,299.60","0.22","6,977,299.60","93,130.00","74.92","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","6,698,143.76","0.21","6,698,143.76","53,042.00","126.28","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","6,697,906.83","0.21","6,697,906.83","90,647.00","73.89","United States","NASDAQ","USD","1.00","USD","-"
"EXAS","EXACT SCIENCES CORP","Health Care","Equity","6,656,131.71","0.21","6,656,131.71","106,311.00","62.61","United States","NASDAQ","USD","1.00","USD","-"
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Health Care","Equity","6,615,903.30","0.20","6,615,903.30","33,746.00","196.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTLT","CATALENT INC","Health Care","Equity","6,580,682.20","0.20","6,580,682.20","105,935.00","62.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","Health Care","Equity","6,039,943.60","0.19","6,039,943.60","167,590.00","36.04","United States","NASDAQ","USD","1.00","USD","-"
"RPRX","ROYALTY PHARMA PLC CLASS A","Health Care","Equity","6,022,699.41","0.19","6,022,699.41","228,219.00","26.39","United States","NASDAQ","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","Health Care","Equity","5,960,184.93","0.18","5,960,184.93","57,939.00","102.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","5,714,021.28","0.18","5,714,021.28","29,832.00","191.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QGEN","QIAGEN NV","Health Care","Equity","5,681,946.90","0.18","5,681,946.90","130,830.00","43.43","Germany","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SOLV","SOLVENTUM CORP","Health Care","Equity","5,643,100.98","0.17","5,643,100.98","81,114.00","69.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMED","GLOBUS MEDICAL INC CLASS A","Health Care","Equity","5,447,380.40","0.17","5,447,380.40","65,560.00","83.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSIC","HENRY SCHEIN INC","Health Care","Equity","5,421,599.59","0.17","5,421,599.59","74,791.00","72.49","United States","NASDAQ","USD","1.00","USD","-"
"PEN","PENUMBRA INC","Health Care","Equity","5,244,018.90","0.16","5,244,018.90","21,607.00","242.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFX","TELEFLEX INC","Health Care","Equity","5,124,382.07","0.16","5,124,382.07","27,481.00","186.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","5,094,793.20","0.16","5,094,793.20","14,884.00","342.30","United States","NASDAQ","USD","1.00","USD","-"
"ITCI","INTRA CELLULAR THERAPIES INC","Health Care","Equity","5,068,356.57","0.16","5,068,356.57","60,273.00","84.09","United States","NASDAQ","USD","1.00","USD","-"
"CHE","CHEMED CORP","Health Care","Equity","4,840,241.15","0.15","4,840,241.15","8,705.00","556.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","4,825,847.00","0.15","4,825,847.00","4,825,847.00","1.00","United States","-","USD","1.00","USD","-"
"DVA","DAVITA INC","Health Care","Equity","4,763,965.14","0.15","4,763,965.14","29,522.00","161.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","Health Care","Equity","4,639,667.64","0.14","4,639,667.64","32,614.00","142.26","United States","NASDAQ","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Health Care","Equity","4,439,320.14","0.14","4,439,320.14","36,051.00","123.14","United States","NASDAQ","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","4,238,645.97","0.13","4,238,645.97","25,023.00","169.39","United States","NASDAQ","USD","1.00","USD","-"
"DOCS","DOXIMITY INC CLASS A","Health Care","Equity","3,973,524.96","0.12","3,973,524.96","71,828.00","55.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKR","BRUKER CORP","Health Care","Equity","3,736,872.00","0.12","3,736,872.00","63,900.00","58.48","United States","NASDAQ","USD","1.00","USD","-"
"BIO","BIO RAD LABORATORIES INC CLASS A","Health Care","Equity","3,642,990.36","0.11","3,642,990.36","11,301.00","322.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELAN","ELANCO ANIMAL HEALTH INC","Health Care","Equity","3,493,614.24","0.11","3,493,614.24","288,252.00","12.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IONS","IONIS PHARMACEUTICALS INC","Health Care","Equity","3,367,255.50","0.10","3,367,255.50","91,626.00","36.75","United States","NASDAQ","USD","1.00","USD","-"
"INSP","INSPIRE MEDICAL SYSTEMS INC","Health Care","Equity","3,278,276.00","0.10","3,278,276.00","17,110.00","191.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VKTX","VIKING THERAPEUTICS INC","Health Care","Equity","3,072,508.24","0.10","3,072,508.24","61,598.00","49.88","United States","NASDAQ","USD","1.00","USD","-"
"ROIV","ROIVANT SCIENCES LTD","Health Care","Equity","3,008,862.24","0.09","3,008,862.24","249,078.00","12.08","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","2,648,239.50","0.08","2,648,239.50","2,648,240.00","100.00","United States","-","USD","1.00","USD","-"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Health Care","Equity","2,498,273.82","0.08","2,498,273.82","52,773.00","47.34","United States","NASDAQ","USD","1.00","USD","-"
"OGN","ORGANON","Health Care","Equity","2,324,850.72","0.07","2,324,850.72","149,412.00","15.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XRAY","DENTSPLY SIRONA INC","Health Care","Equity","2,284,836.44","0.07","2,284,836.44","118,324.00","19.31","United States","NASDAQ","USD","1.00","USD","-"
"PRGO","PERRIGO PLC","Health Care","Equity","2,235,422.47","0.07","2,235,422.47","78,629.00","28.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHC","ACADIA HEALTHCARE COMPANY INC","Health Care","Equity","2,209,709.00","0.07","2,209,709.00","53,246.00","41.50","United States","NASDAQ","USD","1.00","USD","-"
"APLS","APELLIS PHARMACEUTICALS INC","Health Care","Equity","2,023,825.35","0.06","2,023,825.35","60,503.00","33.45","United States","NASDAQ","USD","1.00","USD","-"
"NVST","ENVISTA HOLDINGS CORP","Health Care","Equity","2,002,116.56","0.06","2,002,116.56","99,707.00","20.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMED","AMEDISYS INC","Health Care","Equity","1,571,397.30","0.05","1,571,397.30","18,535.00","84.78","United States","NASDAQ","USD","1.00","USD","-"
"ENOV","ENOVIS CORP","Health Care","Equity","1,510,757.64","0.05","1,510,757.64","31,553.00","47.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZTA","AZENTA INC","Health Care","Equity","1,391,850.00","0.04","1,391,850.00","30,930.00","45.00","United States","NASDAQ","USD","1.00","USD","-"
"QDEL","QUIDELORTHO CORP","Health Care","Equity","1,366,384.00","0.04","1,366,384.00","36,340.00","37.60","United States","NASDAQ","USD","1.00","USD","-"
"PINC","PREMIER INC CLASS A","Health Care","Equity","1,339,401.05","0.04","1,339,401.05","60,965.00","21.97","United States","NASDAQ","USD","1.00","USD","-"
"FTRE","FORTREA HOLDINGS INC","Health Care","Equity","1,210,508.06","0.04","1,210,508.06","51,358.00","23.57","United States","NASDAQ","USD","1.00","USD","-"
"SHC","SOTERA HEALTH COMPANY","Health Care","Equity","1,145,536.80","0.04","1,145,536.80","88,288.00","12.98","United States","NASDAQ","USD","1.00","USD","-"
"TXG","10X GENOMICS INC CLASS A","Health Care","Equity","919,952.92","0.03","919,952.92","60,404.00","15.23","United States","NASDAQ","USD","1.00","USD","-"
"CERT","CERTARA INC","Health Care","Equity","738,748.66","0.02","738,748.66","69,301.00","10.66","United States","NASDAQ","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","350,999.00","0.01","350,999.00","350,999.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"GRAL","GRAIL INC","Health Care","Equity","341,416.35","0.01","341,416.35","15,235.00","22.41","United States","NASDAQ","USD","1.00","USD","-"
"IXCZ4","E-MINI HEALTH CARE SECTOR DEC 24","Cash and/or Derivatives","Futures","0.00","0.00","7,186,340.00","49.00","1,466.60","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners."
