,keywords
PFE,pfizer inc discovers develops manufactures markets distributes sells biopharmaceutical products united states europe internationally company offers medicines vaccines various therapeutic areas including cardiovascular metabolic migraine womens health eliquis nurtec odtvydura zavzpret premarin family brands infectious diseases unmet medical needs prevnar family abrysvo nimenrix fsmeimmunticovac trumenba brands covid19 prevention treatment potential future mrna antiviral products comirnaty paxlovid brands also provides medicines vaccines various therapeutic areas biosimilars chronic immune inflammatory diseases xeljanz enbrel inflectra litfulo velsipity cibinqo brands amyloidosis hemophilia endocrine diseases sickle cell disease vyndaqel family oxbryta benefix somavert ngenla genotropin brands sterile injectable antiinfective medicines sulperazon medrol zavicefta zithromax panzyga brands biologics small molecules immunotherapies biosimilars ibrance xtandi inlyta bosulif mektovi padcev adcetris talzenna tukysa elrexfio tivdak lorbrena braftovi brands addition company involved contract manufacturing business serves wholesalers retailers hospitals clinics government agencies pharmacies individual provider offices retail pharmacies integrated delivery systems company collaboration agreements bristolmyers squibb company astellas pharma us inc merck kgaa biontech se well strategic clinical collaboration acepodia inc development antibodycell conjugationbased cell therapies autoimmune diseases pfizer inc founded 1849 headquartered new york new york
SYK,stryker corporation operates medical technology company company operates two segments medsurg neurotechnology orthopaedics spine orthopaedics spine segment provides implants use total joint replacements hip knee shoulder trauma extremities surgeries segment also offers spinal implant products comprising cervical thoracolumbar systems include fixation minimally invasive interbody systems used spinal injury complex spine degenerative therapies medsurg neurotechnology segment offers surgical equipment surgical navigation systems endoscopic communications systems patient handling emergency medical equipment intensive care disposable products reprocessed remanufactured medical devices clinical communication workflow solutions medical device products used various medical specialties well patient caregiver safety technologies segment also provides neurosurgical neurovascular craniomaxillofacial implant products include products used minimally invasive endovascular procedures products brain open skull based surgical procedures orthobiologic biosurgery products synthetic bone grafts vertebral augmentation products minimally invasive products treatment acute ischemic hemorrhagic stroke craniomaxillofacial implant products including cranial maxillofacial chest wall devices well dural substitutes sealants company sells products doctors hospitals healthcare facilities companyowned subsidiaries branches well thirdparty dealers distributors approximately 75 countries stryker corporation founded 1941 headquartered portage michigan
BSX,boston scientific corporation develops manufactures markets medical devices use various interventional medical specialties worldwide operates two segments medsurg cardiovascular company offers devices diagnose treat gastrointestinal pulmonary conditions resolution clips biliary stent systems stents electrocautery enhanced delivery systems direct visualization systems digital catheters singleuse duodenoscopes devices treat urological conditions including ureteral stents catheters baskets guidewires sheaths balloons singleuse digital flexible ureteroscopes holmium laser systems artificial urinary sphincter laser system fiber hydrogel systems devices treat neurological movement disorders manage chronic pain spinal cord stimulator system proprietary programming software radiofrequency generator indirect decompression systems practice optimization tools deep brain stimulation system also provides technologies diagnosing treating coronary artery disease aortic valve conditions watchman flx left atrial appendage closure device implantable devices monitor heart deliver electricity treat cardiac abnormalities cardioverter cardiac resynchronization therapy defibrillators mri sicd systems cardiac resynchronization therapy pacemakers quadripolar lv leads icd leads pacing leads remote patient management systems insertable cardiac monitor systems remote cardiac monitoring systems addition company offers diagnosis treatment rate rhythm disorders heart peripheral arterial venous diseases products diagnose treat ease forms cancer company incorporated 1979 headquartered marlborough massachusetts
BMY,bristolmyers squibb company discovers develops licenses manufactures markets distributes sells biopharmaceutical products worldwide offers products hematology oncology cardiovascular immunology fibrotic neuroscience diseases companys products include eliquis reduction risk strokesystemic embolism nonvalvular atrial fibrillation treatment dvtpe opdivo various anticancer indications including bladder blood crc head neck rcc hcc lung melanoma mpm stomach esophageal cancer pomalystimnovid multiple myeloma orencia active rheumatoid arthritis psoriatic arthritis sprycel treatment philadelphia chromosomepositive chronic myeloid leukemia also provides yervoy treatment patients unresectable metastatic melanoma empliciti treatment multiple myeloma abecma treatment relapsed refractory multiple myeloma reblozyl treatment anemia opdualag treatment unresectable metastatic melanoma zeposia treat relapsing forms multiple sclerosis addition company offers breyanzi treatment relapsed refractory large bcell lymphoma onureg treatment aml inrebic treatment myelofibrosis camzyos treatment symptomatic obstructive hcm enhance functional capacity symptom sotyktu treatment moderatetosevere plaque psoriasis augtyro treatment locally advanced metastatic ros1positive nsclc revlimid oral immunomodulatory drug treatment multiple myeloma abraxane treat breast cancer nsclc pancreatic cancer sells products wholesalers distributors pharmacies retailers hospitals clinics government agencies company formerly known bristolmyers company bristolmyers squibb company founded 1887 headquartered princeton new jersey
VRTX,vertex pharmaceuticals incorporated biotechnology company engages developing commercializing therapies treating cystic fibrosis cf markets trikaftakaftrio people cf least one f508del mutation 2 years age older symdekosymkevi people cf 6 years age older orkambi cf patients 1 year older kalydeco treatment patients 1 year older cf ivacaftor companys pipeline includes vx522 cftr mrna therapeutic designed treat underlying cause cf phase 1 clinical trial vx548 nonopioid medicine treatment acute neuropathic pain phase 3 clinical trial exacel treatment sickle cell disease transfusiondependent beta thalassemia phase 23 clinical trial addition provides inaxaplin treatment apol1mediated focal segmental glomerulosclerosis comorbidities hypertension single phase 23 vx 880 vx264 treatment type 1 diabetes phase 12 clinical trial vx970 phase 2 clinical trial treatment cancer vx803 vx984 treatment cancer phase 1 clinical trial sells products specialty pharmacy specialty distributors united states well retail pharmacies hospitals clinics additionally company collaborations crispr therapeutics ag moderna inc entrada therapeutics inc arbor biotechnologies inc mammoth biosciences inc verve therapeutics well collaborations tevard biosciences develop novel trnabased therapies duchenne muscular dystrophy vertex pharmaceuticals incorporated founded 1989 headquartered boston massachusetts
GILD,gilead sciences inc biopharmaceutical company discovers develops commercializes medicines areas unmet medical need united states europe internationally company provides biktarvy genvoya descovy odefsey truvada complera eviplera stribild sunlencs atripla products treatment hivaids veklury injection intravenous use treatment covid19 epclusa harvoni vemlidy viread treatment viral hepatitis also offers yescarta tecartus trodelvy products treatment oncology letairis oral formulation treatment pulmonary arterial hypertension ambisome liposomal formulation treatment serious invasive fungal infections company collaboration agreements arcus biosciences inc merck sharp dohme corp pionyr immunotherapeutics inc tizona therapeutics inc galapagos nv janssen sciences ireland unlimited company japan tobacco inc dragonfly therapeutics inc arcellx inc everest medicines merck co inc tentarix biotherapeutics inc marengo therapeutics assembly biosciences inc also research collaboration option license agreement merus nv discovery novel dual tumorassociated antigens taa targeting trispecific antibodies company incorporated 1987 headquartered foster city california
MDT,medtronic plc develops manufactures sells devicebased medical therapies healthcare systems physicians clinicians patients worldwide cardiovascular portfolio segment offers implantable cardiac pacemakers cardioverter defibrillators cardiac resynchronization therapy devices cardiac ablation products insertable cardiac monitor systems tyrx products remote monitoring patientcentered software also provides aortic valves surgical valve replacement repair products endovascular stent grafts accessories transcatheter pulmonary valves percutaneous coronary intervention products percutaneous angioplasty balloons products neuroscience portfolio segment offers medical devices implants biologic solutions spinal cord stimulation brain modulation systems implantable drug infusion systems interventional products well nerve ablation system accurian name segment offers products spinal surgeons neurosurgeons neurologists pain management specialists anesthesiologists orthopedic surgeons urologists urogynecologists interventional radiologists well ear nose throat specialists energy surgical instruments medical surgical portfolio segment offers surgical stapling devices vessel sealing instruments wound closure electrosurgery products aipowered surgical video analytics platform roboticassisted surgery products hernia mechanical devices mesh implants gynecology products gastrointestinal hepatologic diagnostics therapies therapies treat nonexclusive diseases conditions patient monitoring airway management products diabetes operating unit segment provides insulin pumps consumables continuous glucose monitoring systems inpen smart insulin pen system company founded 1949 headquartered galway ireland
ELV,elevance health inc together subsidiaries operates health benefits company united states company operates four segments health benefits carelonrx carelon services corporate offers variety health plans services program members health products array feebased administrative managed care services specialty insurance products services stop loss dental vision life disability supplemental health insurance benefits company operates pharmacy services business markets offers pharmacy services including pharmacy benefit management well home delivery specialty pharmacies claims adjudication formulary management pharmacy networks rebate administration prescription drug database member services addition provides healthcarerelated services capabilities including utilization management behavioral health integrated care delivery palliative care payment integrity services subrogation services health wellness programs well services related data management information technology business operations company involved national government services business company provides services anthem blue cross blue shield wellpoint carelon brand names company formerly known anthem inc changed name elevance health inc june 2022 elevance health inc incorporated 2001 headquartered indianapolis indiana
CI,cigna group together subsidiaries provides insurance related products services united states evernorth health services segment provides range coordinated point solution health services including pharmacy benefits home delivery pharmacy specialty pharmacy distribution care delivery management solutions health plans employers government organizations health care providers companys cigna healthcare segment offers medical pharmacy behavioral health dental products services insured selfinsured customers medicare advantage medicare supplement medicare part plans seniors well individual health insurance plans health care coverage international markets well health care benefits mobile individuals employees multinational organizations addition offers permanent insurance contracts sold corporations provide coverage lives certain employees financing employerpaid future benefit obligations company distributes products services insurance brokers consultants directly employers unions groups individuals private public exchanges company formerly known cigna corporation changed name cigna group february 2023 cigna group founded 1792 headquartered bloomfield connecticut
REGN,regeneron pharmaceuticals inc discovers invents develops manufactures commercializes medicines treating various diseases worldwide companys products include eylea injection treat wet agerelated macular degeneration diabetic macular edema myopic choroidal neovascularization diabetic retinopathy neovascular glaucoma retinopathy prematurity also provides dupixent injection treat atopic dermatitis asthma adults pediatrics libtayo injection treat metastatic locally advanced cutaneous squamous cell carcinoma praluent injection heterozygous familial hypercholesterolemia clinical atherosclerotic cardiovascular disease adults regencov covid19 kevzara solution treating rheumatoid arthritis adults addition company offers inmazeb injection infection caused zaire ebolavirus arcalyst injection cryopyrinassociated periodic syndromes including familial cold autoinflammatory syndrome mucklewells syndrome zaltrap injection intravenous infusion treat metastatic colorectal cancer develops product candidates treating patients eye allergic inflammatory cardiovascular metabolic infectious rare diseases cancer pain hematologic conditions collaboration mammoth biosciences inc research develop commercialize vivo crisprbased gene editing therapies multiple tissues cell types sonoma biotherapeutics inc discover develop commercialize engineered regulatory cell therapies company incorporated 1988 headquartered tarrytown new york
ZTS,zoetis inc engages discovery development manufacture commercialization animal health medicines vaccines diagnostic products services united states internationally company commercializes products primarily across species including livestock cattle swine poultry fish sheep others companion animals comprising dogs cats horses also offers parasiticides vaccines dermatology pharmaceutical antiinfectives animal health diagnostics medicated feed additives addition company provides animal health diagnostics including pointofcare diagnostic products instruments reagents rapid immunoassay tests reference laboratory kits services blood glucose monitors nonpharmaceutical products include nutritionals well products services biodevices genetic tests precision animal health markets products veterinarians livestock producers pet owners company collaboration blacksmith medicines inc discover develop novel antibiotics animal health zoetis inc founded 1952 headquartered parsippany new jersey
BDX,becton dickinson company develops manufactures sells medical supplies devices laboratory equipment diagnostic products healthcare institutions physicians life science researchers clinical laboratories pharmaceutical industry general public worldwide company operates three segments bd medical bd life sciences bd interventional bd medical segment provides peripheral intravenous iv advanced peripheral catheters central lines acute dialysis catheters vascular access technology vascular care preparation products needlefree iv connectors extensions sets closedsystem drug transfer devices hazardous drug detections hypodermic syringes needles anesthesia needles trays enteral syringes sharps disposal systems iv medication safety infusion therapy delivery systems medication compounding workflow systems automated medication dispensing supply management systems medication inventory optimization tracking systems prefillable drug delivery systems bd life sciences segment offers specimen blood collection products automated blood tuberculosis culturing molecular testing microorganism identification drug susceptibility liquidbased cytology systems well rapid diagnostic assays microbiology laboratory automation products plated media products fluorescenceactivated cell sorters analyzers antibodies kits reagent systems solutions singlecell gene expression analysis well clinical oncology immunological transplantation diagnosticmonitoring reagents analyzers bd interventional segment provides hernia soft tissue repair biological bioresorbable grafts biosurgery surgical products surgical infection prevention peripheral intervention products urology critical care products company founded 1897 headquartered franklin lakes new jersey
HCA,hca healthcare inc subsidiaries owns operates hospitals related healthcare entities united states operates general acute care hospitals offers medical surgical services including inpatient care intensive care cardiac care diagnostic emergency services outpatient services outpatient surgery laboratory radiology respiratory therapy cardiology physical therapy company also operates outpatient health care facilities consisting freestanding ambulatory surgery centers freestanding emergency care facilities urgent care facilities walkin clinics diagnostic imaging centers rehabilitation physical therapy centers radiation oncology therapy centers physician practices various facilities addition operates behavioral hospitals provide therapeutic programs comprising child adolescent adult psychiatric care adolescent adult alcohol drug abuse treatment counseling services company formerly known hca holdings inc hca healthcare inc founded 1968 headquartered nashville tennessee
EW,edwards lifesciences corporation provides products technologies structural heart disease critical care monitoring united states europe japan internationally offers transcatheter heart valve replacement products minimally invasive replacement aortic heart valves edwards sapien family valves system transcatheter heart valve repair replacement products treat mitral tricuspid valve diseases pascal precision cardioband names company also provides surgical structural heart solutions aortic surgical valve inspiris name inspiris resilla aortic valve offers resilia tissue vfit technology konect resilia preassembled tissue valves conduit complex combined procedures mitris resilia valve addition offers critical care solutions including hemodynamic monitoring systems measure patients heart function fluid status surgical intensive care settings flotrac acumen iq sensors clearsight acumen iq cuffs foresight names hemosphere monitoring platform displays physiological information acumen hypotension prediction index software alerts clinicians advance patient developing dangerously low blood pressure company distributes products direct sales force independent distributors edwards lifesciences corporation founded 1958 headquartered irvine california
A,agilent technologies inc provides application focused solutions life sciences diagnostics applied chemical markets worldwide company operates three segments life sciences applied markets diagnostics genomics agilent crosslab life sciences applied markets segment offers liquid chromatography systems components liquid chromatography mass spectrometry systems gas chromatography systems components gas chromatography mass spectrometry systems inductively coupled plasma mass spectrometry instruments atomic absorption instruments microwave plasmaatomic emission spectrometry instruments inductively coupled plasma optical emission spectrometry instruments raman spectroscopy cell analysis plate based assays flow cytometer realtime cell analyzer cell imaging systems microplate reader laboratory software information management analytics laboratory automation robotic systems dissolution testing vacuum pumps measurement technologies diagnostics genomics segment focuses genomics nucleic acid contract manufacturing research development pathology companion diagnostics reagent partnership biomolecular analysis businesses agilent crosslab segment provides gc lc columns sample preparation products custom chemistries laboratory instrument supplies offers services portfolio including repairs parts maintenance installations training compliance support software service asset management consulting services company markets products direct sales distributors resellers manufacturers representatives electronic commerce agilent technologies inc incorporated 1999 headquartered santa clara california
IQV,iqvia holdings inc engages provision advanced analytics technology solutions clinical research services life sciences industry americas europe africa asiapacific operates three segments technology analytics solutions research development solutions contract sales medical solutions technology analytics solutions segment offers range cloudbased applications related implementation services real world solutions enable life sciences provider customers generate disseminate evidence informs health care decision making improves patients outcomes strategic implementation consulting services advanced analytics commercial processes outsourcing services segment also provides country level performance metrics related sales pharmaceutical products prescribing trends medical treatment promotional activity across various channels including retail hospital mail order measurement sales prescribing activity regional zip code individual prescriber level research development solutions segment offers project management clinical monitoring clinical trial support strategic planning design services patient site centric solutions well central laboratory genomic bioanalytical adme discovery vaccine biomarker laboratory services contract sales medical solutions segment provides health care provider patient engagement services scientific strategy medical affairs services serves pharmaceutical biotechnology device diagnostic consumer health companies company collaboration argenx se company formerly known quintiles ims holdings inc changed name iqvia holdings inc november 2017 company headquartered durham north carolina
IDXX,idexx laboratories inc develops manufactures distributes products primarily companion animal veterinary livestock poultry dairy water testing markets africa asia pacific canada europe latin america internationally company operates three segments companion animal group water quality products livestock poultry dairy also provides pointofcare veterinary diagnostic products including instruments consumables rapid assay test kits veterinary reference laboratory diagnostic consulting services practice management diagnostic imaging systems services veterinarians health monitoring biological materials testing laboratory diagnostic instruments services biomedical research community addition company offers diagnostic healthmonitoring products livestock poultry dairy products test water various microbiological contaminants pointofcare electrolytes blood gas analyzers inclinic chemistry blood urine chemistry hematology immunoassay urinalysis coagulation analyzers snap rapid assays test kits provides colilert colilert18 colisure tests detect presence total coliforms e coli water enterolert pseudalert filtamax filtamax xpress legiolert quantitray products veterinary software services independent veterinary clinics corporate groups additionally company offers human medical pointofcare products laboratory diagnostics services company markets products marketing customer service sales technical service groups well independent distributors resellers idexx laboratories inc incorporated 1983 headquartered westbrook maine
RMD,resmed inc develops manufactures distributes markets medical devices cloudbased software applications healthcare markets company operates two segments sleep respiratory care software service offers various products solutions range respiratory disorders including apnealink air portable diagnostic device measures oximetry respiratory effort pulse nasal flow snoring nightowl portable cloudconnected disposable diagnostic device measures ahi based derived peripheral arterial tone actigraphy oximetry several nights company also provides airview cloudbased system enables remote monitoring changing patients device settings myair personalized therapy management application patients sleep apnea provides support education troubleshooting tools increased patient engagement improved compliance usleep compliance monitoring solution enables home medical equipment hme streamline sleep programs connectivity module propeller solutions propeller portal offers outofhospital software solution brightree business management software service solutions providers hme pharmacy home infusion orthotics prosthetics services matrixcare care management related ancillary solutions senior living skilled nursing life plan communities home health home care hospice organizations well related accountable care organizations healthcarefirst offers electronic health record software billing coding services analytics home health hospice agencies medifox dans software solutions company markets products sleep clinics home healthcare dealers hospitals network distributors direct sales force resmed inc founded 1989 headquartered san diego california
VEEV,veeva systems inc provides cloudbased software life sciences industry offers veeva commercial cloud suite software analytics solutions veeva customer relationship management crm enable customerfacing employees pharmaceutical biotechnology companies veeva vault promomats endtoend content digital asset management solution veeva vault medical provides source medical content across multiple channels geographies veeva crossix analytics platform pharmaceutical brands veeva opendata customer reference data solution veeva link data application allows link generate realtime intelligence veeva compass includes deidentified longitudinal patient data united states company also provides veeva development cloud suite applications clinical regulatory quality safety functions including veeva vault clinical veeva vault rim veeva vault safety veeva vault quality veeva qualityone quality document management training solution veeva regulatoryone solution helps companies manage regulatory submission content veeva claims addresses endtoend product marketing claims management process addition offers professional support services including implementation deployment planning project management requirements analysis solution design configuration systems environment management deployment services services focused advancing transforming business operating processes related veeva solutions data migration systems integrations technical consulting services training solutions ongoing managed services outsourced systems administration company formerly known verticals ondemand inc changed name veeva systems inc april 2009 veeva systems inc incorporated 2007 headquartered pleasanton california
HUM,humana inc together subsidiaries provides medical specialty insurance products united states operates two segments insurance centerwell company offers medical supplemental benefit plans individuals contract centers medicare medicaid services administer limited income newly eligible transition prescription drug plan program contracts various states provide medicaid dual eligible longterm support services benefits addition company provides commercial fullyinsured medical specialty health insurance benefits comprising dental vision life insurance supplemental health benefits well administrative services products individuals employer groups military services tricare t2017 east region contract engages operations pharmacy benefit manager business operates pharmacies senior focused primary care centers offers home solutions services home health hospice services health plan members well third parties company sells products employers employees independent brokers agents sales representatives digital insurance agencies company formerly known extendicare inc changed name humana inc april 1974 humana inc founded 1961 headquartered louisville kentucky
